,Name,Country,GamesPlayed,Goals,Assists,Points,PlusMinus,ShotsOnGoal,GameWinningGoals,ShootingPercentage,AvgPlusMinus,in_HOF
1442,"Raymond, Mason",Canada,328,70,86,156,15,764,11,0.09162303664921470,0.04573170731707320,0
1443,"Ray, Rob",Canada,900,41,50,91,-38,370,4,0.11081081081081100,-0.042222222222222200,0
1445,"Reaves, Ryan",Canada,88,5,3,8,-1,48,2,0.10416666666666700,-0.011363636363636400,0
1446,"Recchi, Mark",Canada,1652,577,956,1533,0,3820,91,0.15104712041884800,0.0,1
1447,"Reddox, Liam",Canada,100,6,18,24,-17,136,0,0.04411764705882350,-0.17,0
1448,"Redmond, Dick",Canada,156,34,57,91,-53,414,3,0.0821256038647343,-0.33974358974359000,0
1449,"Redmond, Mickey",Canada,538,233,195,428,-6,1779,29,0.13097245643620000,-0.011152416356877300,0
1450,"Reeds, Mark",Canada,365,45,114,159,-7,468,7,0.09615384615384620,-0.019178082191780800,0
1452,"Reich, Jeremy",Canada,99,2,4,6,-18,69,1,0.028985507246376800,-0.18181818181818200,0
1454,"Reid, Dave",Canada,961,165,204,369,54,1420,22,0.11619718309859200,0.05619146722164410,0
1455,"Reinprecht, Steve",Canada,663,140,242,382,21,981,17,0.14271151885830800,0.03167420814479640,0
1457,"Rheaume, Pascal",Canada,318,39,52,91,-10,378,4,0.10317460317460300,-0.031446540880503100,0
1458,"Ribeiro, Mike",Canada,737,173,387,560,5,1198,25,0.14440734557596000,0.0067842605156038000,0
1459,"Ricci, Mike",Canada,1099,243,362,605,-20,1552,41,0.1565721649484540,-0.018198362147406700,0
1460,"Rice, Steven",Canada,329,64,61,125,-43,535,6,0.11962616822429900,-0.13069908814589700,0
1461,"Richards, Brad",Canada,854,245,537,782,-73,2719,34,0.09010665685913940,-0.08548009367681500,0
1462,"Richardson, Brad",Canada,375,42,57,99,-23,598,8,0.07023411371237460,-0.06133333333333330,0
1463,"Richard, Henri",Canada,492,94,242,336,126,1279,14,0.07349491790461300,0.25609756097561000,1
1464,"Richard, Jacques",Canada,556,160,187,347,-74,1306,17,0.1225114854517610,-0.13309352517985600,0
1465,"Richards, Mike",Canada,527,151,242,393,42,1340,22,0.1126865671641790,0.07969639468690700,0
1466,"Richer, Stephane",Canada,1054,421,398,819,76,2849,72,0.14777114777114800,0.07210626185958260,0
1467,"Ridley, Mike",Canada,866,292,466,758,37,1513,46,0.19299405155320600,0.042725173210161700,0
1468,"Riley, Bill",Canada,139,31,30,61,-18,147,3,0.2108843537414970,-0.12949640287769800,0
1469,"Risebrough, Doug",Canada,740,185,286,471,212,1300,28,0.1423076923076920,0.2864864864864870,0
1470,"Rissling, Gary",Canada,184,20,26,46,-38,144,1,0.1388888888888890,-0.20652173913043500,0
1472,"Ritchie, Byron",Canada,324,25,33,58,-35,320,2,0.078125,-0.10802469135802500,0
1475,"Roberts, Gary",Canada,1224,438,472,910,229,2374,52,0.18449873631002500,0.18709150326797400,0
1476,"Roberts, Jimmy",Canada,662,104,153,257,141,1049,13,0.09914204003813160,0.21299093655589100,0
1477,"Roberts, Jim",Canada,106,17,23,40,-28,156,0,0.10897435897435900,-0.2641509433962260,0
1478,"Roberge, Mario",Canada,112,7,7,14,-1,37,3,0.1891891891891890,-0.008928571428571430,0
1479,"Roberto, Phil",Canada,385,75,106,181,-47,919,10,0.08161044613710560,-0.12207792207792200,0
